et,lat,lon,obcflags,batt,curr,txforward2,txcurr,rxcurr,rxdoppler,rxrssi,txreflected,txforward,txtemp,txvoltage,antsA,antsB,localtime,boardtime
COESU,-27.254,-44.504,007D,8.296,0.067,53.40335500000001,0,0.057,413.0,939.0,0.003824,0.005975,0.6451612903225836,8.096774193548388,0100,0100,2021-04-07 11:14:00,2020-12-25 06:19:13
COESU,-26.019,-44.793,007D,8.296,0.067,53.42128,0,0.057999999999999996,424.0,943.0,0.005975,0.005975,0.6451612903225836,8.080645161290322,0100,0100,2021-04-07 11:14:20,2020-12-25 06:19:28
COESU,-25.402,-44.93600000000001,007D,8.296,0.067,53.439205,0,0.057999999999999996,410.0,946.0,0.003824,0.005975,1.29032258064516,8.064516129032258,0100,0100,2021-04-07 11:14:30,2020-12-25 06:19:43
COESU,-23.549,-45.359,007D,8.286,0.067,53.47505500000001,0,0.057,413.0,947.0,0.003824,0.005975,1.29032258064516,8.080645161290322,0100,0100,2021-04-07 11:15:00,2020-12-25 06:20:13
COESU,-21.696,-45.773,007D,8.286,0.067,53.51090500000001,0,0.057999999999999996,413.0,941.0,0.003824,0.005975,1.6129032258064484,8.112903225806452,0100,0100,2021-04-07 11:15:30,2020-12-25 06:20:43
COESU,-20.46,-46.045,007D,8.296,0.067,53.528830000000006,0,0.057999999999999996,415.0,946.0,0.003824,0.005975,1.6129032258064484,8.096774193548388,0100,0100,2021-04-07 11:15:50,2020-12-25 06:20:58
COESU,-17.988,-46.58,007D,8.286,0.067,53.58260500000001,0,0.057999999999999996,413.0,951.0,0.003824,0.005975,1.935483870967744,8.112903225806452,0100,0100,2021-04-07 11:16:30,2020-12-25 06:21:43
COESU,-16.133,-46.975,007D,8.296,0.067,53.618455,0,0.057999999999999996,413.0,960.0,0.003824,0.005975,2.2580645161290316,8.064516129032258,0100,0100,2021-04-07 11:17:00,2020-12-25 06:22:13
COESU,-14.897,-47.235,007D,8.296,0.067,53.63638,0,0.057999999999999996,414.0,954.0,0.003824,0.005975,2.2580645161290316,8.096774193548388,0100,0100,2021-04-07 11:17:20,2020-12-25 06:22:28
COESU,-11.186,-48.005,007D,8.286,0.067,53.70808,0,0.057,415.0,952.0,0.003824,0.005975,2.903225806451616,8.048387096774192,0100,0100,2021-04-07 11:18:20,2020-12-25 06:23:28
